Deployment,Date Time,Date,Time,Control_A,Control_B,Control_Avg,White_5A,White_5B,White_5_Avg,White_10A,White_10B,White_10Avg,White_15A,White_15B,White_15Avg,White_25A,White_25B,White_25_Avg,White_30A,White_30B,White_30_Avg,Black_5A,Black_5B,Black_5Avg,Black_10A,Black_10B,Black_10Avg,Black_15A,Black_15B,Black_15Avg,Black_25A,Black_25B,Black_25_Avg,Black_30B,Air_Temp,Solar_Rad,Rain
1,7/16/2018 16:31,7/16/2018,16:31,30.735,30.86,30.7975,30.799,30.88,30.8395,30.791,30.672,30.7315,30.555,30.707,30.631,NA,NA,NA,NA,NA,NA,30.633,31.16,30.8965,30.709,30.936,30.8225,30.63,30.618,30.624,NA,NA,NA,NA,30.1,234,0.13
1,7/16/2018 17:01,7/16/2018,17:01,31.359,31.547,31.453,31.423,31.504,31.4635,31.416,31.359,31.3875,31.18,31.332,31.256,NA,NA,NA,NA,NA,NA,31.258,31.784,31.521,31.333,31.56,31.4465,31.254,31.242,31.248,NA,NA,NA,NA,30.4,325,0.13
1,7/16/2018 17:31,7/16/2018,17:31,31.983,32.108,32.0455,31.985,32.066,32.0255,31.915,31.858,31.8865,31.742,31.831,31.7865,NA,NA,NA,NA,NA,NA,31.82,32.345,32.0825,31.895,32.059,31.977,31.816,31.804,31.81,NA,NA,NA,NA,30.2,153,0.13
1,7/16/2018 18:01,7/16/2018,18:01,32.483,32.607,32.545,32.547,32.628,32.5875,32.414,32.419,32.4165,32.242,32.268,32.255,NA,NA,NA,NA,NA,NA,32.319,32.907,32.613,32.395,32.496,32.4455,32.315,32.303,32.309,NA,NA,NA,NA,30.4,271,0.13
1,7/16/2018 18:31,7/16/2018,18:31,32.982,33.107,33.0445,33.046,33.065,33.0555,32.788,32.856,32.822,32.617,32.704,32.6605,NA,NA,NA,NA,NA,NA,32.819,33.344,33.0815,32.832,32.87,32.851,32.752,32.802,32.777,NA,NA,NA,NA,30.4,171,0.13
1,7/16/2018 19:01,7/16/2018,19:01,33.356,33.419,33.3875,33.42,33.439,33.4295,33.162,33.23,33.196,32.991,33.016,33.0035,NA,NA,NA,NA,NA,NA,33.193,33.656,33.4245,33.144,33.182,33.163,33.126,33.176,33.151,NA,NA,NA,NA,30.3,118,0.13
1,7/16/2018 19:31,7/16/2018,19:31,33.606,33.668,33.637,33.669,33.689,33.679,33.412,33.417,33.4145,33.179,33.204,33.1915,NA,NA,NA,NA,NA,NA,33.443,33.905,33.674,33.394,33.369,33.3815,33.376,33.426,33.401,NA,NA,NA,NA,29.9,51,0.13
1,7/16/2018 20:01,7/16/2018,20:01,33.731,33.793,33.762,33.794,33.814,33.804,33.537,33.604,33.5705,33.304,33.328,33.316,NA,NA,NA,NA,NA,NA,33.568,33.967,33.7675,33.519,33.494,33.5065,33.563,33.613,33.588,NA,NA,NA,NA,29.6,28,0.13
1,7/16/2018 20:31,7/16/2018,20:31,33.793,33.793,33.793,33.794,33.814,33.804,33.599,33.667,33.633,33.304,33.391,33.3475,NA,NA,NA,NA,NA,NA,33.63,33.967,33.7985,33.581,33.556,33.5685,33.626,33.675,33.6505,NA,NA,NA,NA,29,5,0.13
1,7/16/2018 21:01,7/16/2018,21:01,33.731,33.731,33.731,33.732,33.751,33.7415,33.599,33.604,33.6015,33.241,33.328,33.2845,NA,NA,NA,NA,NA,NA,33.63,33.905,33.7675,33.581,33.556,33.5685,33.626,33.675,33.6505,NA,NA,NA,NA,28.7,0,0.13
1,7/16/2018 21:31,7/16/2018,21:31,33.606,33.543,33.5745,33.607,33.564,33.5855,33.474,33.542,33.508,33.179,33.266,33.2225,NA,NA,NA,NA,NA,NA,33.505,33.718,33.6115,33.456,33.432,33.444,33.563,33.613,33.588,NA,NA,NA,NA,28.4,0,0.13
1,7/16/2018 22:01,7/16/2018,22:01,33.419,33.356,33.3875,33.42,33.377,33.3985,33.35,33.355,33.3525,32.991,33.079,33.035,NA,NA,NA,NA,NA,NA,33.318,33.468,33.393,33.269,33.307,33.288,33.376,33.426,33.401,NA,NA,NA,NA,28,0,0.13
