Date,Sand_Temp,Air_Temp,Solar_Rad,Rain,Color,Concentration,Deployment
7/17/2018,30.61,27.65,204.13,0.15,1_Control,0,1
7/18/2018,30.57,27.51,182.11,0,1_Control,0,1
7/19/2018,29.89,27.42,132.25,0.03,1_Control,0,1
7/20/2018,29.29,26.25,154.56,0.79,1_Control,0,1
7/21/2018,27.77,26.67,120.7,1.19,1_Control,0,1
7/22/2018,30.69,29.77,263.98,0,1_Control,0,1
7/23/2018,30.65,27.82,234.55,0.74,1_Control,0,1
7/24/2018,29.32,26.39,240.38,0,1_Control,0,1
7/25/2018,30.9,27.3,281.92,0,1_Control,0,1
7/17/2018,30.57,27.65,204.13,0.15,2_White,5,1
7/17/2018,30.64,27.65,204.13,0.15,3_Black,5,1
7/18/2018,30.58,27.51,182.11,0,2_White,5,1
7/18/2018,30.59,27.51,182.11,0,3_Black,5,1
7/19/2018,29.95,27.42,132.25,0.03,2_White,5,1
7/19/2018,29.98,27.42,132.25,0.03,3_Black,5,1
7/20/2018,29.26,26.25,154.56,0.79,2_White,5,1
7/20/2018,29.27,26.25,154.56,0.79,3_Black,5,1
7/21/2018,27.77,26.67,120.7,1.19,2_White,5,1
7/21/2018,27.64,26.67,120.7,1.19,3_Black,5,1
7/22/2018,30.69,29.77,263.98,0,2_White,5,1
7/22/2018,30.74,29.77,263.98,0,3_Black,5,1
7/23/2018,30.75,27.82,234.55,0.74,2_White,5,1
7/23/2018,30.75,27.82,234.55,0.74,3_Black,5,1
7/24/2018,29.36,26.39,240.38,0,2_White,5,1
7/24/2018,29.27,26.39,240.38,0,3_Black,5,1
7/25/2018,30.99,27.3,281.92,0,2_White,5,1
7/25/2018,30.91,27.3,281.92,0,3_Black,5,1
7/17/2018,30.76,27.65,204.13,0.15,2_White,10,1
7/17/2018,30.87,27.65,204.13,0.15,3_Black,10,1
7/18/2018,30.67,27.51,182.11,0,2_White,10,1
7/18/2018,30.64,27.51,182.11,0,3_Black,10,1
7/19/2018,29.95,27.42,132.25,0.03,2_White,10,1
7/19/2018,29.81,27.42,132.25,0.03,3_Black,10,1
7/20/2018,29.36,26.25,154.56,0.79,2_White,10,1
7/20/2018,29.36,26.25,154.56,0.79,3_Black,10,1
7/21/2018,27.85,26.67,120.7,1.19,2_White,10,1
7/21/2018,27.98,26.67,120.7,1.19,3_Black,10,1
7/22/2018,30.75,29.77,263.98,0,2_White,10,1
7/22/2018,30.82,29.77,263.98,0,3_Black,10,1
7/23/2018,30.82,27.82,234.55,0.74,2_White,10,1
7/23/2018,30.84,27.82,234.55,0.74,3_Black,10,1
7/24/2018,29.44,26.39,240.38,0,2_White,10,1
7/24/2018,29.45,26.39,240.38,0,3_Black,10,1
7/25/2018,31.03,27.3,281.92,0,2_White,10,1
7/25/2018,31.09,27.3,281.92,0,3_Black,10,1
7/17/2018,30.47,27.65,204.13,0.15,2_White,15,1
7/17/2018,30.9,27.65,204.13,0.15,3_Black,15,1
7/18/2018,30.32,27.51,182.11,0,2_White,15,1
7/18/2018,30.78,27.51,182.11,0,3_Black,15,1
7/19/2018,29.61,27.42,132.25,0.03,2_White,15,1
7/19/2018,30,27.42,132.25,0.03,3_Black,15,1
7/20/2018,29.07,26.25,154.56,0.79,2_White,15,1
7/20/2018,29.5,26.25,154.56,0.79,3_Black,15,1
7/21/2018,27.71,26.67,120.7,1.19,2_White,15,1
7/21/2018,28.05,26.67,120.7,1.19,3_Black,15,1
7/22/2018,30.59,29.77,263.98,0,2_White,15,1
7/22/2018,30.71,29.77,263.98,0,3_Black,15,1
7/23/2018,30.66,27.82,234.55,0.74,2_White,15,1
7/23/2018,30.78,27.82,234.55,0.74,3_Black,15,1
7/24/2018,29.18,26.39,240.38,0,2_White,15,1
7/24/2018,29.47,26.39,240.38,0,3_Black,15,1
7/25/2018,30.68,27.3,281.92,0,2_White,15,1
7/25/2018,31.11,27.3,281.92,0,3_Black,15,1
8/21/2018,30.94,28.09,199.85,0.38,1_Control,0,2
8/22/2018,31.56,29.07,205.96,0.1,1_Control,0,2
8/23/2018,31.5,26.98,252.19,0,1_Control,0,2
8/24/2018,30.8,27.29,201.63,0,1_Control,0,2
8/25/2018,31.56,28.34,237.02,0.51,1_Control,0,2
8/26/2018,31.1,27.92,286.6,0,1_Control,0,2
8/27/2018,28.7,26.59,152.76,8.36,1_Control,0,2
8/28/2018,30.04,27.58,237.62,0.13,1_Control,0,2
8/29/2018,29.04,26.94,117.62,0.41,1_Control,0,2
8/30/2018,26.96,24.72,131.5,0.61,1_Control,0,2
8/31/2018,28.21,26.65,200.68,0.03,1_Control,0,2
9/1/2018,29.22,27.2,252.54,1.35,1_Control,0,2
9/2/2018,30.05,27.33,236.44,0.53,1_Control,0,2
8/21/2018,31.13,28.09,199.85,0.38,2_White,25,2
8/21/2018,31.56,28.09,199.85,0.38,3_Black,25,2
8/22/2018,31.85,29.07,205.96,0.1,2_White,25,2
8/22/2018,32.11,29.07,205.96,0.1,3_Black,25,2
8/23/2018,31.84,26.98,252.19,0,2_White,25,2
8/23/2018,32.14,26.98,252.19,0,3_Black,25,2
8/24/2018,31.21,27.29,201.63,0,2_White,25,2
8/24/2018,31.43,27.29,201.63,0,3_Black,25,2
8/25/2018,31.99,28.34,237.02,0.51,2_White,25,2
8/25/2018,32.16,28.34,237.02,0.51,3_Black,25,2
8/26/2018,31.5,27.92,286.6,0,2_White,25,2
8/26/2018,31.83,27.92,286.6,0,3_Black,25,2
8/27/2018,28.77,26.59,152.76,8.36,2_White,25,2
8/27/2018,29.14,26.59,152.76,8.36,3_Black,25,2
8/28/2018,30.08,27.58,237.62,0.13,2_White,25,2
8/28/2018,30.34,27.58,237.62,0.13,3_Black,25,2
